feature,coefficient
witty,0.6005724176487253
sense of,0.5988754681752532
yet,0.5985794572502902
the new,0.5984275122380633
real,0.5983223616424694
so good,0.5961023309889139
worth seeing,0.5957077350574209
familiar,0.5952073244134461
of humor,0.5948098539455865
part of,0.5932980050132051
and enjoy,0.5915496843802023
not be,0.5911177784005751
kurosawa,0.5910273718994086
relate,0.5909008593816799
who,0.5903515943660824
todd,0.5902505014142772
played by,0.5886011244478198
polanski,0.5882539060355775
liked this,0.5870527876825262
back,0.5870527662719212
great to,0.5863586233807583
as well,0.5854896253545955
andrews,0.5852641078285774
lovely,0.5850584594530217
film you,0.5847205224774513
really liked,0.5832053804716698
comedy,0.5826277350168636
score,0.581898881482663
pilot,0.5817049364952606
did great,0.5815539669312656
my only,0.5811474813481535
rain,0.5802896422915137
but think,0.5778778628251363
enjoy it,0.5777278096718217
the series,0.577575609887876
pleasantly,0.5774609220415773
and the,0.5773328233402568
the blob,0.5770545279471971
mildred,0.577015777012353
even better,0.5763639235953735
normal,0.5760858691491295
the finest,0.575966606424312
marvelous,0.5757722992009341
it now,0.5757391469582865
relationships,0.5730394782810989
brian,0.5728343011531957
movie you,0.572612081990512
era,0.5723863973722761
sky,0.5717759632384911
lot,0.5705247890264364
for everyone,0.5700638359184865
blob,0.5699989569189134
animation,0.5692251095310373
makes the,0.5692135001123115
it came,0.5688506638357903
shown,0.5683459303383174
relationship,0.5680523925563976
well acted,0.5667174133612901
is worth,0.5648261531999708
is beautiful,0.564537470421984
of course,0.5645293798707803
was very,0.5645164143502859
watch,0.5644885781871162
film that,0.563804788963457
those who,0.5635630069537463
funny and,0.5632752317066071
role,0.5629242807177868
holds,0.5628676608599597
captures the,0.5628447745554687
shines,0.5621383403643008
stone,0.561699389433646
dreams,0.5616281658609423
portraying,0.561155344583204
movie for,0.5604953736729549
it has,0.5602916872822636
moved,0.5593608614174018
well made,0.558196741843318
won,0.5577623726359532
lincoln,0.5557214439424971
those,0.5552953896533978
stand up,0.5541161199087429
able to,0.5535568882613839
impressive,0.5531330333098091
festival,0.5530564729639649
is brilliant,0.5528175191127618
perfection,0.5527435099255786
superbly,0.5517102063461027
bill,0.5513591905181469
bond,0.5510956997104666
find,0.5495050165520299
loving,0.5492871010020839
daniel,0.5490712139833941
unexpected,0.5490480965187894
his best,0.5479119754511879
wish,0.5476148546427761
dentist,0.547438396436939
