config_name,hidden_units,dropout,l2,learning_rate,batch_size,epochs_ran,best_epoch,best_val_loss,elapsed_seconds,accuracy,precision,recall,f1,roc_auc
nn_128_32_stronger_reg,128-32,0.5,0.001,0.0005,128,8,4,0.4364173412322998,6.272506584064104,0.8964,0.8895440251572327,0.9052,0.8973037272006344,0.9598379200000001
nn_256_64,256-64,0.4,0.0001,0.001,128,5,1,0.3247591257095337,6.249067957978696,0.897,0.8866380989481886,0.9104,0.8983619498717189,0.9596673600000001
nn_128,128,0.3,0.0001,0.001,128,10,6,0.35394486784935,7.299943457939662,0.893,0.8944199116820554,0.8912,0.8928070526948507,0.95898832
