comparison,metric,median_a,median_b,mannwhitney_p
disagree_vs_agree,margin_lr,0.03887840301526968,0.41203556949779974,0.0
disagree_vs_agree,margin_nn,0.03915897011756897,0.39079999923706055,0.0
disagree_vs_agree,margin_mean,0.04533002232878497,0.40078844581826245,0.0
disagree_vs_agree,words,168.0,171.0,0.6583047179266373
judgemiss_vs_hit,margin_lr,0.03811766009291068,0.03887840301526968,0.7790845114145624
judgemiss_vs_hit,margin_nn,0.042486727237701416,0.03885561227798462,0.7010401145423159
judgemiss_vs_hit,margin_mean,0.044175729773811845,0.04569611494014947,0.944748412391788
judgemiss_vs_hit,words,165.0,168.0,0.7869685196437154
